state,E_ex,osc,nm
1,3.0897,0.0054,401.2823025
2,3.2044,0.043,386.9185901
3,3.2385,0.0016,382.8445052
4,3.2724,0.0073,378.8784776
5,3.3429,0.005,370.8881301
6,3.3904,0.0109,365.6919331
7,3.4715,0.0008,357.1487628
8,3.5874,0.0025,345.6101717
9,3.6488,0.0006,339.7944338
10,3.7942,0.0065,326.7729508
11,3.9348,0.0078,315.0965564
12,3.9959,0.0008,310.278518
13,4.0299,0.0032,307.6607186
14,4.1565,0.009,298.2898905
15,4.295,0.0024,288.6709965
16,4.3988,0.0015,281.8591275
17,4.4628,0.0026,277.8170498
18,4.5492,0.0009,272.5406511
19,4.5854,0.0072,270.3890457
20,4.6245,0.0061,268.1029149
21,4.6536,0.0126,266.4264075
22,4.6671,0.0095,265.6557455
23,4.6767,0.0043,265.1104262
24,4.7119,0.0019,263.1299327
25,4.7255,0.0011,262.3726442
26,4.7539,0.0005,260.8052189
27,4.8552,0.013,255.3637193
28,4.9084,0.0524,252.5959437
29,4.9208,0.0184,251.9594233
30,4.9602,0.0013,249.9580521
31,4.9952,0.004,248.2066644
32,5.0084,0.0027,247.5524978
33,5.0201,0.003,246.9755443
34,5.0431,0.0093,245.8491662
35,5.0678,0.0087,244.6509195
36,5.1751,0.001,239.5783521
37,5.1838,0.0838,239.1762664
38,5.1974,0.0004,238.5504156
39,5.2377,0.0372,236.7149569
40,5.2899,0.0136,234.3790866
41,5.2984,0.0026,234.0030821
42,5.3331,0.0022,232.4805329
43,5.3739,0.0014,230.7154822
44,5.3802,0.0003,230.4453236
45,5.4054,0.0462,229.3709864
46,5.4135,0.0375,229.0277879
47,5.4524,0.0244,227.3937954
48,5.4645,0.0178,226.8902791
49,5.494,0.085,225.6719931
50,5.5335,0.0068,224.0610698
51,5.5466,0.0034,223.5318808
52,5.5874,0.018,221.8996188
53,5.621,0.0118,220.5731952
54,5.6501,0.0019,219.4371657
55,5.6569,0.0004,219.1733865
56,5.6693,0.0037,218.6940063
57,5.6764,0.0006,218.4204654
58,5.7034,0.0004,217.386459
59,5.722,0.0105,216.67982
60,5.7313,0.0013,216.3282205
61,5.7532,0.0021,215.5047504
62,5.767,0.0012,214.9890636
63,5.7914,0.0003,214.0832838
64,5.8121,0.0228,213.3208186
65,5.8308,0.0133,212.6366759
66,5.8516,0.0063,211.8808411
67,5.8697,0.004,211.2274784
68,5.8912,0.005,210.4566014
69,5.8985,0.0012,210.1961397
70,5.9088,0.0007,209.8297336
71,5.9211,0.0061,209.3938508
72,5.9306,0.0142,209.0584309
73,5.9633,0.003,207.9120504
74,5.9688,0.0005,207.7204681
75,6.0195,0.0013,205.9709162
76,6.0355,0.0006,205.4248911
77,6.0463,0.001,205.0579578
78,6.0656,0.0324,204.4054883
79,6.0849,0.0214,203.7571579
80,6.1023,0.0004,203.176168
81,6.1139,0.0235,202.7906786
82,6.1201,0.0218,202.5852404
83,6.1281,0.0021,202.3207732
84,6.1484,0.004,201.6527763
85,6.1524,0.0112,201.5216712
86,6.1624,0.0018,201.1946531
87,6.1672,0.0135,201.038061
88,6.2049,0.0012,199.8165853
89,6.2092,0.0043,199.6782081
90,6.2149,0.0078,199.4950731
91,6.2358,0.0035,198.8264425
92,6.2575,0.0021,198.1369445
93,6.2864,0.0021,197.2260642
94,6.3171,0.0034,196.2675801
95,6.3367,0.0052,195.6605063
96,6.3472,0.0001,195.3368304
97,6.3687,0.0176,194.6773957
98,6.375,0.0026,194.4850086
99,6.383,0.0141,194.2412549
100,6.4012,0.0253,193.6889849